Colorado_Springs,Maryland_Baltimore,NewMexico_Roswell,LosAngeles
32.1,33.9,43.1,58.9
27.2,31.7,41,58.2
34.1,35.7,48,58.3
35.4,39.9,49.7,60.1
47.2,54,61.1,64.1
59.6,60.6,76.8,65.9
65.7,73.2,79.7,67.3
69.8,74.3,81,69.5
67.6,73.1,77.9,73.3
57.4,67.8,69.8,69.1
49,55.7,60.3,63.9
38.1,40.2,49.2,62.1
33,39.6,43.9,58.2
27.1,32.7,38.3,57.3
30.2,40.9,41.8,58.7
40.7,45.5,54.9,59.9
39.5,51.6,55.8,61.8
53.7,59.5,68.5,67.5
64.3,70.1,77.2,68.8
70.5,77.2,81,69.4
67,74,79,72.9
62.2,67.3,75.3,74.7
48.5,56.5,60.9,68.5
33.5,43.6,46.9,63.2
30.5,38.4,33.8,56.9
32.1,40.9,39.1,56.2
31.6,41.7,45.6,55.1
35.4,45.8,50.5,58
43,55.2,57.1,57.2
58.8,66.5,72.9,61
63.8,71.7,80.6,64.7
71,76.6,83.4,69.5
67.6,75.7,78.4,72.1
65.4,71.7,77.9,70.4
50,56.2,63.4,65.6
41.7,46.1,52.1,59.7
28.3,41.1,42.4,55.5
33.7,35.1,45.8,57.1
38.1,37.6,50.4,56.5
42.1,41.8,53.5,55.7
42.2,53.1,60,58.4
53.3,64.2,67.7,63.4
62.8,71.5,76,65
71.1,80,80,70.3
68.7,75.7,81,68.8
57.7,68.1,72.1,67.8
50.8,53.9,61.6,68.1
44.8,49.9,54.1,60.5
33.6,39.1,40.5,59.2
32.1,32.5,44.3,58.4
38,38,51.8,57.7
39,48.5,54.1,57.9
48.8,52.9,63.8,61
59.4,64.7,75.8,64.3
64.2,72.8,77.9,68
71.9,72.8,82.9,68.6
71.3,73.4,81.4,70.7
61.9,65.3,75.8,69.6
49.7,57.1,60.9,63.6
30.3,44.2,43.5,58.1
28,29.9,38.3,58.4
27.1,33,36.9,54.9
30.3,38.5,47.1,54.2
37.3,41.7,50.7,57.8
49.3,55.4,63,57.1
55.1,63.3,71.1,63.9
66.5,74,80.5,67.4
73.5,72.8,84.2,67.8
69.8,77,79.8,68.4
